,Date,Theme,Sentiment,Newspaper
0,25/09/20,digital_stack,positive,Business Line
1,24/09/20,macroeconomic_policy,positive,Business Line
2,24/09/20,macroeconomic_policy,positive,Business Line
3,24/09/20,digital_stack,positive,Business Line
4,24/09/20,enrolment_process,positive,Business Line
5,23/09/20,digital_stack,positive,Business Line
6,22/09/20,money_laundering,positive,Business Line
7,22/09/20,digital_stack,neutral,Business Line
8,19/09/20,e-governance,positive,Business Line
9,19/09/20,money_laundering,positive,Business Line
10,19/09/20,aadhaar_based_schemes,positive,Business Line
11,17/09/20,aadhaar_based_schemes,positive,Business Line
12,16/09/20,money_laundering,positive,Business Line
13,16/09/20,aadhaar_based_schemes,negative,Business Line
14,15/09/20,digital_stack,positive,Business Line
15,14/09/20,money_laundering,positive,Business Line
16,11/09/20,digital_stack,positive,Business Line
17,09/09/20,money_laundering,positive,Business Line
18,08/09/20,enrolment_process,neutral,Business Line
19,04/09/20,macroeconomic_policy,positive,Business Line
20,03/09/20,aadhaar_based_schemes,positive,Business Line
21,03/09/20,e-governance,neutral,Business Line
22,02/09/20,macroeconomic_policy,positive,Business Line
23,02/09/20,money_laundering,positive,Business Line
24,01/09/20,digital_stack,positive,Business Line
25,30/08/20,e-governance,positive,Business Line
26,29/08/20,crime,negative,Business Line
27,28/08/20,financial_inclusion,positive,Business Line
28,27/08/20,macroeconomic_policy,positive,Business Line
29,26/08/20,e-governance,positive,Business Line
30,26/08/20,digital_stack,positive,Business Line
31,25/08/20,money_laundering,negative,Business Line
32,25/08/20,macroeconomic_policy,positive,Business Line
33,24/08/20,digital_stack,positive,Business Line
34,23/08/20,e-governance,positive,Business Line
35,22/08/20,e-governance,positive,Business Line
36,21/08/20,macroeconomic_policy,positive,Business Line
37,20/08/20,digital_stack,positive,Business Line
38,18/08/20,digital_stack,positive,Business Line
39,18/08/20,data_security,positive,Business Line
40,18/08/20,digital_stack,positive,Business Line
41,15/08/20,e-governance,positive,Business Line
42,13/08/20,digital_stack,positive,Business Line
43,12/08/20,digital_stack,positive,Business Line
44,11/08/20,digital_stack,positive,Business Line
45,08/08/20,enrolment_process,positive,Business Line
46,07/08/20,enrolment_process,neutral,Business Line
47,07/08/20,macroeconomic_policy,positive,Business Line
48,07/08/20,aadhaar_based_schemes,positive,Business Line
49,04/08/20,aadhaar_based_schemes,positive,Business Line
50,01/08/20,aadhaar_based_subsidies,positive,Business Line
51,31/07/20,digital_stack,positive,Business Line
52,31/07/20,macroeconomic_policy,positive,Business Line
53,30/07/20,macroeconomic_policy,positive,Business Line
54,29/07/20,crime,positive,Business Line
55,23/07/20,digital_stack,positive,Business Line
56,22/07/20,digital_stack,positive,Business Line
57,22/07/20,e-governance,positive,Business Line
58,17/07/20,digital_stack,positive,Business Line
59,13/07/20,money_laundering,positive,Business Line
60,12/07/20,e-governance,positive,Business Line
61,11/07/20,e-governance,negative,Business Line
62,10/07/20,e-governance,positive,Business Line
63,10/07/20,digital_stack,positive,Business Line
64,09/07/20,e-governance,positive,Business Line
65,07/07/20,macroeconomic_policy,negative,Business Line
66,05/07/20,e-governance,positive,Business Line
67,03/07/20,e-governance,neutral,Business Line
68,02/07/20,aadhaar_based_subsidies,positive,Business Line
69,01/07/20,digital_stack,positive,Business Line
70,26/06/20,enrolment_process,neutral,Business Line
71,24/06/20,money_laundering,positive,Business Line
72,24/06/20,digital_stack,positive,Business Line
73,22/06/20,digital_stack,positive,Business Line
74,22/06/20,money_laundering,positive,Business Line
75,18/06/20,financial_inclusion,positive,Business Line
76,17/06/20,digital_stack,positive,Business Line
77,12/06/20,enrolment_process,positive,Business Line
78,12/06/20,financial_inclusion,positive,Business Line
79,11/06/20,financial_inclusion,positive,Business Line
80,10/06/20,financial_inclusion,positive,Business Line
81,09/06/20,e-governance,positive,Business Line
82,09/06/20,digital_stack,positive,Business Line
83,09/06/20,aadhaar_based_subsidies,positive,Business Line
84,07/06/20,money_laundering,positive,Business Line
85,04/06/20,digital_stack,positive,Business Line
86,04/06/20,money_laundering,positive,Business Line
87,03/06/20,macroeconomic_policy,positive,Business Line
88,03/06/20,digital_stack,positive,Business Line
89,03/06/20,digital_stack,positive,Business Line
90,01/06/20,aadhaar_based_subsidies,positive,Business Line
91,01/06/20,digital_stack,positive,Business Line
92,01/06/20,digital_stack,positive,Business Line
93,01/06/20,data_security,negative,Business Line
94,31/05/20,money_laundering,positive,Business Line
95,30/05/20,e-governance,positive,Business Line
96,29/05/20,money_laundering,positive,Business Line
97,28/05/20,e-governance,positive,Business Line
98,28/05/20,enrolment_process,positive,Business Line
99,28/05/20,macroeconomic_policy,negative,Business Line
100,27/05/20,macroeconomic_policy,positive,Business Line
101,26/05/20,e-governance,positive,Business Line
102,26/05/20,e-governance,positive,Business Line
103,25/05/20,macroeconomic_policy,positive,Business Line
104,24/05/20,aadhaar_based_schemes,positive,Business Line
105,24/05/20,macroeconomic_policy,neutral,Business Line
106,22/05/20,aadhaar_based_schemes,negative,Business Line
107,20/05/20,digital_stack,positive,Business Line
108,20/05/20,digital_stack,positive,Business Line
109,19/05/20,judiciary_right_to_privacy,positive,Business Line
110,19/05/20,digital_stack,positive,Business Line
111,16/05/20,macroeconomic_policy,positive,Business Line
112,15/05/20,macroeconomic_policy,positive,Business Line
113,14/05/20,aadhaar_based_subsidies,positive,Business Line
114,13/05/20,aadhaar_based_subsidies,positive,Business Line
115,12/05/20,e-governance,positive,Business Line
116,11/05/20,digital_stack,positive,Business Line
117,07/05/20,digital_stack,positive,Business Line
118,05/05/20,enrolment_process,neutral,Business Line
119,03/05/20,macroeconomic_policy,positive,Business Line
120,02/05/20,macroeconomic_policy,positive,Business Line
121,02/05/20,digital_stack,positive,Business Line
122,01/05/20,digital_stack,positive,Business Line
123,30/04/20,digital_stack,positive,Business Line
124,26/04/20,e-governance,positive,Business Line
125,25/04/20,money_laundering,positive,Business Line
126,24/04/20,macroeconomic_policy,negative,Business Line
127,22/04/20,e-governance,negative,Business Line
128,21/04/20,digital_stack,positive,Business Line
129,19/04/20,digital_stack,negative,Business Line
130,19/04/20,aadhaar_based_schemes,positive,Business Line
131,18/04/20,digital_stack,positive,Business Line
132,16/04/20,crime,negative,Business Line
133,15/04/20,money_laundering,positive,Business Line
134,14/04/20,digital_stack,positive,Business Line
135,12/04/20,digital_stack,positive,Business Line
136,12/04/20,digital_stack,positive,Business Line
137,10/04/20,macroeconomic_policy,negative,Business Line
138,10/04/20,e-governance,positive,Business Line
139,10/04/20,digital_stack,positive,Business Line
140,08/04/20,money_laundering,positive,Business Line
141,05/04/20,e-governance,positive,Business Line
142,05/04/20,e-governance,positive,Business Line
143,31/03/20,money_laundering,positive,Business Line
144,31/03/20,e-governance,negative,Business Line
145,31/03/20,e-governance,positive,Business Line
146,31/03/20,digital_stack,positive,Business Line
147,30/03/20,e-governance,positive,Business Line
148,30/03/20,aadhaar_based_schemes,positive,Business Line
149,29/03/20,aadhaar_based_schemes,positive,Business Line
150,27/03/20,aadhaar_based_schemes,positive,Business Line
151,27/03/20,digital_stack,positive,Business Line
152,27/03/20,money_laundering,positive,Business Line
153,27/03/20,e-governance,positive,Business Line
154,26/03/20,enrolment_process,positive,Business Line
155,24/03/20,macroeconomic_policy,positive,Business Line
156,20/03/20,money_laundering,positive,Business Line
157,12/03/20,aadhaar_political_debates,negative,Business Line
158,12/03/20,macroeconomic_policy,negative,Business Line
159,12/03/20,data_security,negative,Business Line
160,11/03/20,e-governance,negative,Business Line
161,11/03/20,aadhaar_based_subsidies,positive,Business Line
162,09/03/20,macroeconomic_policy,positive,Business Line
163,09/03/20,digital_stack,positive,Business Line
164,06/03/20,digital_stack,positive,Business Line
165,06/03/20,e-governance,positive,Business Line
166,05/03/20,macroeconomic_policy,positive,Business Line
167,04/03/20,e-governance,positive,Business Line
168,03/03/20,digital_stack,positive,Business Line
169,03/03/20,macroeconomic_policy,positive,Business Line
170,03/03/20,aadhaar_based_subsidies,positive,Business Line
171,03/03/20,enrolment_process,positive,Business Line
172,02/03/20,digital_stack,positive,Business Line
173,02/03/20,e-governance,positive,Business Line
174,29/02/20,digital_stack,positive,Business Line
175,28/02/20,aadhaar_based_subsidies,positive,Business Line
176,27/02/20,digital_stack,positive,Business Line
177,27/02/20,money_laundering,positive,Business Line
178,26/02/20,aadhaar_political_debates,positive,Business Line
179,26/02/20,financial_inclusion,positive,Business Line
180,25/02/20,digital_stack,positive,Business Line
181,24/02/20,aadhaar_political_debates,negative,Business Line
182,22/02/20,aadhaar_based_schemes,positive,Business Line
183,21/02/20,aadhaar_based_schemes,positive,Business Line
184,21/02/20,aadhaar_based_schemes,positive,Business Line
185,19/02/20,crime,negative,Business Line
186,19/02/20,crime,negative,Business Line
187,18/02/20,digital_stack,positive,Business Line
188,14/02/20,macroeconomic_policy,negative,Business Line
189,14/02/20,money_laundering,neutral,Business Line
190,13/02/20,digital_stack,positive,Business Line
191,13/02/20,macroeconomic_policy,positive,Business Line
192,12/02/20,money_laundering,positive,Business Line
193,11/02/20,digital_stack,positive,Business Line
194,11/02/20,digital_stack,positive,Business Line
195,07/02/20,macroeconomic_policy,positive,Business Line
196,04/02/20,aadhaar_based_subsidies,positive,Business Line
197,04/02/20,digital_stack,positive,Business Line
198,03/02/20,money_laundering,positive,Business Line
199,02/02/20,macroeconomic_policy,neutral,Business Line
200,02/02/20,macroeconomic_policy,positive,Business Line
201,01/02/20,macroeconomic_policy,positive,Business Line
202,01/02/20,macroeconomic_policy,positive,Business Line
203,01/02/20,money_laundering,negative,Business Line
204,01/02/20,money_laundering,positive,Business Line
205,31/01/20,macroeconomic_policy,negative,Business Line
206,30/01/20,aadhaar_based_schemes,negative,Business Line
207,29/01/20,digital_stack,positive,Business Line
208,28/01/20,aadhaar_political_debates,neutral,Business Line
209,27/01/20,digital_stack,positive,Business Line
210,27/01/20,macroeconomic_policy,positive,Business Line
211,24/01/20,data_security,positive,Business Line
212,22/01/20,aadhaar_based_schemes,positive,Business Line
213,21/01/20,digital_stack,positive,Business Line
214,16/01/20,enrolment_process,neutral,Business Line
215,14/01/20,enrolment_process,neutral,Business Line
216,12/01/20,digital_stack,positive,Business Line
217,09/01/20,money_laundering,positive,Business Line
218,09/01/20,e-governance,positive,Business Line
219,05/01/20,macroeconomic_policy,positive,Business Line
220,02/01/20,e-governance,positive,Business Line
221,31/12/19,digital_stack,negative,Business Line
222,30/12/19,data_security,positive,Business Line
223,30/12/19,e-governance,positive,Business Line
224,30/12/19,data_security,negative,Business Line
225,30/12/19,e-governance,positive,Business Line
226,25/12/19,digital_stack,positive,Business Line
227,24/12/19,digital_stack,positive,Business Line
228,20/12/19,aadhaar_based_subsidies,positive,Business Line
229,19/12/19,aadhaar_based_subsidies,neutral,Business Line
230,18/12/19,aadhaar_based_subsidies,positive,Business Line
231,18/12/19,aadhaar_political_debates,negative,Business Line
232,15/12/19,e-governance,positive,Business Line
233,11/12/19,data_security,positive,Business Line
234,11/12/19,aadhaar_based_schemes,positive,Business Line
235,10/12/19,digital_stack,positive,Business Line
236,09/12/19,macroeconomic_policy,positive,Business Line
237,03/12/19,aadhaar_political_debates,positive,Business Line
238,02/12/19,aadhaar_political_debates,negative,Business Line
239,22/11/19,aadhaar_political_debates,positive,Business Line
240,21/11/19,aadhaar_based_schemes,positive,Business Line
241,20/11/19,data_security,neutral,Business Line
242,20/11/19,data_security,positive,Business Line
243,19/11/19,digital_stack,positive,Business Line
244,15/11/19,e-governance,negative,Business Line
245,15/11/19,macroeconomic_policy,negative,Business Line
246,14/11/19,financial_inclusion,positive,Business Line
247,13/11/19,macroeconomic_policy,positive,Business Line
248,11/11/19,aadhaar_based_schemes,positive,Business Line
249,09/11/19,judiciary_right_to_privacy,positive,Business Line
250,08/11/19,macroeconomic_policy,negative,Business Line
251,06/11/19,financial_inclusion,positive,Business Line
252,31/10/19,financial_inclusion,positive,Business Line
253,29/10/19,judiciary_right_to_privacy,positive,Business Line
254,22/10/19,e-governance,positive,Business Line
255,22/10/19,judiciary_right_to_privacy,neutral,Business Line
256,18/10/19,macroeconomic_policy,positive,Business Line
257,17/10/19,macroeconomic_policy,positive,Business Line
258,16/10/19,macroeconomic_policy,negative,Business Line
259,15/10/19,e-governance,positive,Business Line
260,15/10/19,aadhaar_based_schemes,positive,Business Line
261,14/10/19,e-governance,positive,Business Line
262,12/10/19,aadhaar_based_schemes,positive,Business Line
263,11/10/19,digital_stack,positive,Business Line
264,11/10/19,digital_stack,neutral,Business Line
265,10/10/19,aadhaar_based_schemes,positive,Business Line
266,09/10/19,enrolment_process,neutral,Business Line
267,09/10/19,aadhaar_based_schemes,positive,Business Line
268,08/10/19,digital_stack,positive,Business Line
269,08/10/19,digital_stack,positive,Business Line
270,05/10/19,digital_stack,positive,Business Line
271,03/10/19,aadhaar_based_schemes,positive,Business Line
272,03/10/19,aadhaar_based_schemes,positive,Business Line
273,02/10/19,macroeconomic_policy,negative,Business Line
274,01/10/19,e-governance,negative,Business Line
275,30/09/19,data_security,negative,Business Line
276,28/09/19,e-governance,positive,Business Line
277,28/09/19,aadhaar_based_schemes,positive,Business Line
278,27/09/19,digital_stack,positive,Business Line
279,27/09/19,money_laundering,positive,Business Line
280,26/09/19,e-governance,negative,Business Line
281,26/09/19,digital_stack,positive,Business Line
282,24/09/19,aadhaar_political_debates,positive,Business Line
283,23/09/19,aadhaar_based_schemes,positive,Business Line
284,23/09/19,macroeconomic_policy,positive,Business Line
285,21/09/19,aadhaar_based_schemes,positive,Business Line
286,20/09/19,macroeconomic_policy,positive,Business Line
287,19/09/19,e-governance,positive,Business Line
288,14/09/19,e-governance,neutral,Business Line
289,13/09/19,judiciary_right_to_privacy,positive,Business Line
290,11/09/19,digital_stack,positive,Business Line
291,03/09/19,digital_stack,positive,Business Line
292,02/09/19,e-governance,positive,Business Line
293,01/09/19,e-governance,positive,Business Line
294,01/09/19,aadhaar_based_subsidies,positive,Business Line
295,01/09/19,e-governance,positive,Business Line
296,28/08/19,digital_stack,positive,Business Line
297,26/08/19,digital_stack,positive,Business Line
298,26/08/19,aadhaar_based_schemes,positive,Business Line
299,25/08/19,macroeconomic_policy,positive,Business Line
300,24/08/19,macroeconomic_policy,positive,Business Line
301,23/08/19,macroeconomic_policy,positive,Business Line
302,21/08/19,data_security,positive,Business Line
303,20/08/19,judiciary_right_to_privacy,negative,Business Line
304,20/08/19,macroeconomic_policy,negative,Business Line
305,16/08/19,macroeconomic_policy,positive,Business Line
306,16/08/19,digital_stack,positive,Business Line
307,15/08/19,aadhaar_based_schemes,positive,Business Line
308,13/08/19,judiciary_right_to_privacy,positive,Business Line
309,12/08/19,digital_stack,positive,Business Line
310,11/08/19,enrolment_process,positive,Business Line
311,10/08/19,digital_stack,positive,Business Line
312,09/08/19,aadhaar_based_subsidies,positive,Business Line
313,08/08/19,crime,negative,Business Line
314,05/08/19,digital_stack,neutral,Business Line
315,02/08/19,e-governance,negative,Business Line
316,28/07/19,e-governance,positive,Business Line
317,25/07/19,digital_stack,positive,Business Line
318,24/07/19,aadhaar_based_schemes,positive,Business Line
319,23/07/19,e-governance,positive,Business Line
320,22/07/19,macroeconomic_policy,positive,Business Line
321,22/07/19,enrolment_process,neutral,Business Line
322,21/07/19,money_laundering,positive,Business Line
323,19/07/19,digital_stack,positive,Business Line
324,19/07/19,data_security,positive,Business Line
325,16/07/19,enrolment_process,neutral,Business Line
326,12/07/19,money_laundering,positive,Business Line
327,09/07/19,digital_stack,positive,Business Line
328,08/07/19,aadhaar_political_debates,negative,Business Line
329,07/07/19,macroeconomic_policy,positive,Business Line
330,07/07/19,macroeconomic_policy,positive,Business Line
331,05/07/19,macroeconomic_policy,positive,Business Line
332,05/07/19,macroeconomic_policy,positive,Business Line
333,05/07/19,macroeconomic_policy,positive,Business Line
334,05/07/19,macroeconomic_policy,positive,Business Line
335,05/07/19,money_laundering,positive,Business Line
336,05/07/19,digital_stack,positive,Business Line
337,05/07/19,aadhaar_based_schemes,positive,Business Line
338,05/07/19,money_laundering,neutral,Business Line
339,05/07/19,macroeconomic_policy,positive,Business Line
340,05/07/19,digital_stack,neutral,Business Line
341,05/07/19,money_laundering,positive,Business Line
342,05/07/19,macroeconomic_policy,positive,Business Line
343,04/07/19,digital_stack,positive,Business Line
344,01/07/19,e-governance,positive,Business Line
345,30/06/19,digital_stack,positive,Business Line
346,30/06/19,macroeconomic_policy,positive,Business Line
347,28/06/19,macroeconomic_policy,positive,Business Line
348,27/06/19,e-governance,positive,Business Line
349,26/06/19,digital_stack,positive,Business Line
350,26/06/19,financial_inclusion,positive,Business Line
351,26/06/19,aadhaar_political_debates,negative,Business Line
352,26/06/19,data_security,neutral,Business Line
353,25/06/19,macroeconomic_policy,negative,Business Line
354,25/06/19,money_laundering,positive,Business Line
355,24/06/19,digital_stack,positive,Business Line
356,24/06/19,data_security,negative,Business Line
357,21/06/19,e-governance,negative,Business Line
358,21/06/19,data_security,positive,Business Line
359,20/06/19,aadhaar_based_schemes,negative,Business Line
360,18/06/19,financial_inclusion,positive,Business Line
361,17/06/19,macroeconomic_policy,positive,Business Line
362,12/06/19,aadhaar_political_debates,positive,Business Line
363,12/06/19,e-governance,negative,Business Line
364,11/06/19,aadhaar_based_schemes,positive,Business Line
365,10/06/19,macroeconomic_policy,positive,Business Line
366,09/06/19,aadhaar_based_schemes,positive,Business Line
367,06/06/19,digital_stack,positive,Business Line
368,04/06/19,digital_stack,positive,Business Line
369,31/05/19,digital_stack,positive,Business Line
370,30/05/19,aadhaar_political_debates,positive,Business Line
371,30/05/19,macroeconomic_policy,negative,Business Line
372,30/05/19,e-governance,neutral,Business Line
373,30/05/19,enrolment_process,negative,Business Line
374,30/05/19,e-governance,positive,Business Line
375,29/05/19,e-governance,positive,Business Line
376,23/05/19,aadhaar_political_debates,positive,Business Line
377,21/05/19,digital_stack,neutral,Business Line
378,21/05/19,e-governance,neutral,Business Line
379,19/05/19,digital_stack,positive,Business Line
380,18/05/19,e-governance,negative,Business Line
381,10/05/19,e-governance,positive,Business Line
382,30/04/19,enrolment_process,neutral,Business Line
383,30/04/19,enrolment_process,neutral,Business Line
384,29/04/19,aadhaar_based_schemes,positive,Business Line
385,29/04/19,macroeconomic_policy,positive,Business Line
386,28/04/19,aadhaar_based_schemes,negative,Business Line
387,26/04/19,e-governance,neutral,Business Line
388,22/04/19,aadhaar_based_schemes,positive,Business Line
389,22/04/19,digital_stack,positive,Business Line
390,21/04/19,money_laundering,positive,Business Line
391,20/04/19,aadhaar_based_schemes,positive,Business Line
392,19/04/19,digital_stack,negative,Business Line
393,19/04/19,macroeconomic_policy,negative,Business Line
394,19/04/19,digital_stack,positive,Business Line
395,18/04/19,macroeconomic_policy,positive,Business Line
396,16/04/19,enrolment_process,neutral,Business Line
397,15/04/19,financial_inclusion,positive,Business Line
398,14/04/19,digital_stack,positive,Business Line
399,11/04/19,aadhaar_political_debates,positive,Business Line
400,11/04/19,e-governance,positive,Business Line
401,10/04/19,digital_stack,positive,Business Line
402,10/04/19,macroeconomic_policy,positive,Business Line
403,10/04/19,digital_stack,positive,Business Line
404,09/04/19,macroeconomic_policy,positive,Business Line
405,09/04/19,aadhaar_political_debates,positive,Business Line
406,08/04/19,e-governance,negative,Business Line
407,07/04/19,money_laundering,positive,Business Line
408,05/04/19,e-governance,neutral,Business Line
409,31/03/19,e-governance,positive,Business Line
410,29/03/19,macroeconomic_policy,positive,Business Line
411,29/03/19,aadhaar_political_debates,positive,Business Line
412,28/03/19,digital_stack,positive,Business Line
413,27/03/19,digital_stack,positive,Business Line
414,26/03/19,e-governance,neutral,Business Line
415,25/03/19,aadhaar_political_debates,negative,Business Line
416,22/03/19,digital_stack,neutral,Business Line
417,22/03/19,macroeconomic_policy,negative,Business Line
418,19/03/19,aadhaar_based_schemes,positive,Business Line
419,18/03/19,digital_stack,neutral,Business Line
420,17/03/19,digital_stack,positive,Business Line
421,14/03/19,e-governance,positive,Business Line
422,10/03/19,data_security,negative,Business Line
423,09/03/19,digital_stack,neutral,Business Line
424,08/03/19,data_security,positive,Business Line
425,08/03/19,aadhaar_based_schemes,positive,Business Line
426,07/03/19,e-governance,positive,Business Line
427,07/03/19,macroeconomic_policy,positive,Business Line
428,07/03/19,digital_stack,positive,Business Line
429,07/03/19,data_security,neutral,Business Line
430,04/03/19,crime,neutral,Business Line
431,03/03/19,financial_inclusion,neutral,Business Line
432,01/03/19,e-governance,positive,Business Line
433,01/03/19,aadhaar_based_schemes,positive,Business Line
434,28/02/19,money_laundering,positive,Business Line
435,27/02/19,enrolment_process,negative,Business Line
436,25/02/19,digital_stack,positive,Business Line
437,25/02/19,digital_stack,positive,Business Line
438,24/02/19,aadhaar_based_schemes,positive,Business Line
439,21/02/19,digital_stack,positive,Business Line
440,21/02/19,digital_stack,positive,Business Line
441,18/02/19,digital_stack,positive,Business Line
442,15/02/19,aadhaar_based_schemes,positive,Business Line
443,14/02/19,macroeconomic_policy,positive,Business Line
444,13/02/19,e-governance,neutral,Business Line
445,13/02/19,e-governance,neutral,Business Line
446,13/02/19,aadhaar_political_debates,positive,Business Line
447,12/02/19,aadhaar_political_debates,positive,Business Line
448,12/02/19,e-governance,positive,Business Line
449,11/02/19,money_laundering,positive,Business Line
450,10/02/19,aadhaar_based_schemes,positive,Business Line
451,09/02/19,aadhaar_based_schemes,positive,Business Line
452,08/02/19,aadhaar_based_schemes,positive,Business Line
453,08/02/19,aadhaar_based_schemes,positive,Business Line
454,07/02/19,money_laundering,positive,Business Line
455,07/02/19,aadhaar_based_schemes,positive,Business Line
456,06/02/19,e-governance,positive,Business Line
457,05/02/19,aadhaar_political_debates,positive,Business Line
458,04/02/19,macroeconomic_policy,positive,Business Line
459,04/02/19,aadhaar_based_schemes,positive,Business Line
460,04/02/19,enrolment_process,neutral,Business Line
461,04/02/19,digital_stack,neutral,Business Line
462,03/02/19,data_security,positive,Business Line
463,01/02/19,macroeconomic_policy,positive,Business Line
464,01/02/19,digital_stack,positive,Business Line
465,01/02/19,macroeconomic_policy,positive,Business Line
466,01/02/19,macroeconomic_policy,positive,Business Line
467,31/01/19,aadhaar_based_schemes,positive,Business Line
468,30/01/19,e-governance,positive,Business Line
469,29/01/19,aadhaar_based_subsidies,positive,Business Line
470,29/01/19,macroeconomic_policy,positive,Business Line
471,27/01/19,digital_stack,positive,Business Line
472,23/01/19,e-governance,positive,Business Line
473,22/01/19,digital_stack,positive,Business Line
474,22/01/19,aadhaar_based_schemes,positive,Business Line
475,20/01/19,enrolment_process,neutral,Business Line
476,20/01/19,enrolment_process,neutral,Business Line
477,18/01/19,e-governance,positive,Business Line
478,17/01/19,aadhaar_political_debates,negative,Business Line
